date,close,volume,open,high,low
2019/04/15,168.6700,3687910.0000,172.2000,172.2600,167.4000
2019/04/12,173.0900,3241051.0000,173.6000,173.8900,170.7800
2019/04/11,171.2000,3916692.0000,176.5000,176.6400,171.1400
2019/04/10,177.0400,4082394.0000,179.1900,179.5500,175.5600
2019/04/09,181.0000,3012354.0000,185.0000,185.6000,180.5400
2019/04/08,184.7700,3912125.0000,181.5500,186.2200,180.3900
2019/04/05,181.5500,2925040.0000,181.3300,182.4700,179.8000
2019/04/04,179.1300,3958838.0000,176.9200,180.7300,175.1400
2019/04/03,174.9100,3722349.0000,173.0500,176.9300,172.2600
2019/04/02,170.9800,2519585.0000,170.4100,174.1500,168.8830
2019/04/01,170.4000,4654486.0000,168.0700,171.4000,166.9200
2019/03/29,164.8500,2695018.0000,165.6500,166.0000,163.4600
2019/03/28,164.1100,1711806.0000,165.0000,165.3600,162.7300
2019/03/27,164.2900,2598793.0000,167.3600,167.9850,164.1800
2019/03/26,167.2000,1811599.0000,167.0000,169.8600,166.5848
2019/03/25,166.8800,1623290.0000,165.5700,167.1900,163.7600
2019/03/22,166.7300,2263890.0000,170.7200,170.8862,165.9800
2019/03/21,171.7700,2103000.0000,168.7000,171.9391,168.7000
2019/03/20,170.1700,2050960.0000,171.2800,171.2800,166.6000
2019/03/19,170.7300,1663835.0000,172.1100,172.1800,169.9700
2019/03/18,171.1700,2129850.0000,172.4100,174.0200,169.6700
2019/03/15,170.4800,2978713.0000,169.4100,170.9500,168.7500
2019/03/14,167.7400,2268097.0000,167.9600,168.0400,166.1500
2019/03/13,168.1700,2431552.0000,167.8000,170.7700,167.1000
2019/03/12,166.9900,1832002.0000,168.4500,168.7700,164.5600
2019/03/11,166.9600,2173998.0000,165.6000,167.5600,164.4600
2019/03/08,163.6500,2633502.0000,162.9400,164.7100,160.8300
2019/03/07,165.7200,3245204.0000,169.6300,170.0000,164.9000
2019/03/06,170.2400,5133000.0000,169.2150,173.5200,169.1100
2019/03/05,167.7400,5795895.0000,161.4700,170.2800,161.1100
2019/03/04,160.9200,4316911.0000,163.7100,164.2520,158.4400
2019/03/01,162.0900,2653936.0000,164.1800,165.5000,161.9800
2019/02/28,162.5400,3410116.0000,162.0000,163.1900,160.9100
2019/02/27,162.1700,3703922.0000,161.5500,163.4000,160.6491
2019/02/26,161.9800,4826885.0000,164.0000,164.3400,160.6000
2019/02/25,165.0000,5827152.0000,170.0100,170.5500,164.8600
2019/02/22,167.1700,9226824.0000,173.5000,174.1700,164.0000
2019/02/21,171.8100,4098620.0000,171.7300,172.8900,169.7300
2019/02/20,171.1800,4034152.0000,173.3900,176.0887,170.5100
2019/02/19,172.4500,3153975.0000,169.5300,173.6000,169.2000
2019/02/15,170.0600,3435868.0000,175.4900,175.6300,169.0000
2019/02/14,174.0800,2015557.0000,173.5000,174.9600,171.5500
2019/02/13,173.8200,2544736.0000,172.9800,175.3500,171.7100
2019/02/12,170.2500,2395569.0000,169.0400,171.5400,169.0100
2019/02/11,168.0600,2778721.0000,172.2200,172.3700,166.5700
2019/02/08,169.9000,2121881.0000,170.4600,170.4800,166.6600
2019/02/07,171.5800,1979561.0000,173.5200,173.9600,170.0600
2019/02/06,173.8500,1245863.0000,176.2300,176.5400,173.5900
2019/02/05,176.2300,1533405.0000,175.3100,176.8900,173.5350
2019/02/04,173.9400,1583267.0000,172.3500,175.5350,171.0100
2019/02/01,171.2700,1988870.0000,172.6800,173.5400,169.3800
2019/01/31,172.6300,3317196.0000,171.0500,175.0900,170.3600
2019/01/30,169.3400,2410359.0000,166.7200,170.1000,165.2500
2019/01/29,165.2700,1464990.0000,167.9100,167.9750,164.1500
2019/01/28,167.5000,2026413.0000,164.1800,168.2300,162.7200
2019/01/25,167.1000,2985084.0000,164.9900,168.0600,163.4000
2019/01/24,162.7000,2921835.0000,163.2500,163.5500,161.0000
2019/01/23,163.2600,4426317.0000,162.0000,163.3600,158.9000
2019/01/22,160.3900,7084461.0000,167.3500,167.4600,158.5200
2019/01/18,171.3600,3233650.0000,170.5400,174.2750,169.8000
2019/01/17,168.1100,3117428.0000,167.8400,169.9400,164.5500
2019/01/16,169.7500,2101361.0000,169.6200,171.3300,168.5600
2019/01/15,167.9300,2359740.0000,164.4300,169.9400,164.4000
2019/01/14,163.0300,1786562.0000,162.8200,163.9700,161.5900
2019/01/11,166.1100,2340426.0000,167.8500,168.3500,164.6800
2019/01/10,168.3500,2134928.0000,164.9800,168.4500,162.9100
2019/01/09,166.6400,3391256.0000,166.7200,168.4050,165.4800
2019/01/08,163.4000,3251809.0000,162.1900,163.8900,158.1600
2019/01/07,162.6000,3260746.0000,162.6000,164.4900,158.5100
2019/01/04,160.9500,3845667.0000,157.6000,162.4300,157.2500
2019/01/03,154.7100,3839620.0000,158.7500,159.8800,153.7800
2019/01/02,162.2500,2983776.0000,156.1800,164.3300,155.4900
2018/12/31,158.6000,2485471.0000,163.8000,164.4000,157.5200
2018/12/28,162.1700,2147294.0000,162.0300,164.6050,160.6000
2018/12/27,161.5800,2637025.0000,160.5400,161.9500,156.0400
2018/12/26,163.0400,2666330.0000,158.3200,163.1700,154.6100
2018/12/24,157.1200,2354022.0000,155.2900,161.4800,155.2500
2018/12/21,157.4200,4933852.0000,162.2900,162.7700,156.2500
2018/12/20,160.3600,4151188.0000,160.8600,164.5900,159.8310
2018/12/19,162.4800,3968143.0000,167.9400,169.1400,160.0000
2018/12/18,167.6100,2938266.0000,173.1200,173.2900,167.2100
2018/12/17,169.8600,4174384.0000,176.5800,176.7800,167.5300
2018/12/14,177.5400,2074884.0000,177.7000,180.5100,176.4800
2018/12/13,179.9000,1795384.0000,182.3900,183.1000,179.1700
2018/12/12,179.7500,2782054.0000,180.5000,182.9500,179.3000
2018/12/11,176.8500,3128124.0000,181.8400,182.1000,176.0100
2018/12/10,179.2000,1939824.0000,178.2600,181.5500,174.2500
2018/12/07,179.5600,2852213.0000,180.1100,185.1500,178.6200
2018/12/06,180.7000,4344865.0000,176.0100,183.4900,174.6600
