click_A_index_pv,click_A_index_search_pv,click_A_detail_pv,click_B_index_pv,click_B_index_search_pv,click_B_detail_pv,A_sum_duration,A_max_duration,A_avg_duration,B_sum_duration,B_max_duration,B_avg_duration
1,0,0,5,0,2,0,0,0,147.944378,78.908781,21.13491114
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8.474107,8.474107,8.474107,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,76.384,34.778,15.2768
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,43.606368,42.497448,21.803184
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,49.382,49.382,49.382
0,0,0,0,0,0,0,0,0,65.712,56.737,21.904
0,0,0,0,0,0,7.427,7.427,7.427,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,131.611674,87.039429,32.9029185
0,0,0,1,0,0,0,0,0,161.526386,87.498078,53.84212867
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,1,1,0,0,0,6.931995,6.931995,6.931995
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0,0,200.593405,79.2638,40.118681
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,122.88,103.933,61.44
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4,0,5,0,0,0,57.983884,33.096407,19.32796133,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,28.498,28.498,28.498
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,137.096538,41.096597,22.849423
0,0,0,0,0,0,0,0,0,69.750431,58.746761,34.8752155
0,0,0,0,0,3,0,0,0,154.194,77.687,11.86107692
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.633,0.633,0.633
3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,73.234916,31.222013,18.308729,0,0,0
1,0,4,4,0,4,95.009,64.388,31.66966667,185.382,57.754,20.598
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7.893,7.893,7.893
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,72.288164,72.288164,72.288164
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,105.684834,49.669798,21.1369668,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,9.134,7.623,4.567,4.021,4.021,4.021
8,0,17,0,0,0,167.271924,58.127816,18.58576933,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,70.588,60.721,23.52933333
0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,170.722217,91.900976,28.45370283
0,0,0,2,0,9,0,0,0,264.346,59.346,16.521625
0,0,0,0,0,0,0,0,0,39.721169,11.523602,7.9442338
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,175.18,76.295,43.795
5,6,10,0,0,0,240.494417,107.404529,52.64037031,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,55.738,44.612,13.9345
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4.826,4.826,4.826,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,18.175,18.175,18.175
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9.629556,9.629556,9.629556
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,66.119717,14.849253,9.445673857,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,69.750431,58.746761,34.8752155
0,0,0,2,2,0,0,0,0,480.508,258.426,112.5132732
