duration,launch_cnt
3681.635,4
488.792,3
504.242558,3
40.219,4
163.159838,14
716.024876,1
95.900048,1
301.795,3
26.70085,1
53.414,1
56.835543,5
353.157,2
1244.987452,4
67.79339,1
631.841,3
1783.42,10
7.306,1
354.101,1
959.977,12
356.886571,2
0.338,1
176.981833,3
493.383393,2
236.748834,1
318.402,5
582.570064,7
1141.748,3
219.067513,6
0.688,1
627.966,9
1730.860094,7
1704.976,4
145.422394,2
93.767032,3
52.627088,1
132.7,2
164.862,1
410.709,3
153.748,2
12.831026,2
82.250423,2
2.709,1
140.366027,5
326.848035,11
1230.437,1
4924.706644,14
1071.597456,3
107.515,1
735.545,8
380.261,7
1031.916788,31
716.720488,3
70.374,2
122.692,1
162.313,3
250.013454,3
327.053,7
2399.829,9
402.454,5
461.953504,1
863.273,5
413.209,3
1444.647236,2
162.69,3
181.682371,11
22.617692,4
181.867515,3
534.205,4
148.495101,5
58.825,2
1238.23657,8
174.103716,4
196.511891,7
15.129,5
1380.901,7
131.384,1
125.386,2
149.738,2
127.18154,5
243.818,4
285.075,3
7.45,2
187.144324,3
25.253,1
1197.732968,2
529.992883,1
1377.948728,3
128.262852,4
410.488,1
451.924187,5
285.077226,2
32.107,1
115.489,1
2776.581,2
294.018,6
1.608,1
7.931,6
8.931,1
133.216651,9
368.55,4
114.827042,3
792.090356,6
547.033701,1
858.626873,5
6.238,1
175.739438,3
309.368,3
341.061,3
2.771,3
465.034605,4
1086.837,2
1514.209485,5
2804.381945,3
168.401845,2
637.099619,4
147.818414,4
183.142541,2
3009.196,11
254.814071,2
230.847152,4
680.97,2
134.83462,2
94.105,1
575.425182,7
2.778,1
143.371435,1
199.309246,1
2904.817,14
443.635,3
241.717502,3
164.686651,3
589.367298,1
20.022,1
155.238436,3
473.791,3
461.41835,1
3015.766741,12
744.001111,3
339.685366,6
194.083469,7
2.99,5
1151.569,9
105.95,1
188.443,3
22.102,3
775.192028,5
172.807,3
522.666,5
22.324,2
386.510692,3
4.017021,1
0.223625,1
12.859332,3
614.463411,4
1446.155267,3
360.557025,1
570.289474,5
54.15,5
17.034576,2
1114.866259,9
1064.535,1
338.451,3
23.91,1
10.979237,1
15.27,1
206.139563,2
4.063,2
320.749917,2
50.559583,6
929.402,1
627.815,3
2625.545,34
427.249,1
0.364,2
4924.706644,30
4359.335,2
250.351048,14
74.144653,2
50.793,2
4.95,1
484.814,2
1201.511,9
26.066552,4
95.827456,1
1821.506,8
441.734,4
1554.788,6
2070.576855,14
880.322,1
2820.885,13
1953.173,3
901.847152,20
214.011539,2
411.735484,6
1252.327045,8
2222.968,7
108.425,1
113.875,2
88.205,2
2.807,1
944.496574,13
2668.06,7
63.703773,1
136.710542,2
1535.7313,34
48.246553,2
52.974,2
158.243,2
525.872161,1
672.074813,7
3685.028455,13
334.086926,5
203.263396,5
294.88,4
229.438,4
78.832,2
1340.918,16
258.731,10
103.420422,1
9.049,2
263.592941,9
465.996,2
278.131,1
68.111076,1
585.258,7
1489.331,14
134.57354,2
832.342939,18
3151.460018,19
0.019,1
2740.263,8
1630.109,1
44.528,1
318.8176,2
662.471645,4
27.306572,2
30.656009,1
693.964,10
210.490865,3
122.374573,3
320.581,1
59.338787,3
0.723,1
652.858274,2
2128.853276,7
411.647,2
2049.179415,3
400.966483,2
303.842,5
3.478,1
329.62711,5
488.172217,7
125.388217,3
449.381,5
2.106,1
521.529,2
543.606533,9
278.979053,1
2.908,1
352.259,1
461.956,3
1954.418,1
80.698,1
980.91,20
1485.163898,4
33.588,1
640.875,3
751.221,2
33.449281,2
851.35,4
4924.706644,20
264.992821,6
308.789,2
378.053,3
552.5352,4
8.166,2
419.36,2
220.192346,4
5.572,1
155.321,1
568.342,7
1348.709418,2
2.986142,1
473.212,2
215.148918,1
276.606,5
82.527028,2
199.346938,4
7.606,1
646.320433,7
288.285,4
912.262,6
940.023327,4
1.239,1
641.348496,4
133.09,2
16.978968,2
1872.723948,5
400.749,12
760.574928,6
1696.136183,7
1122.855,22
0.218,1
0.08355,1
1059.574,7
97.913431,1
275.421,3
685.454,2
210.86597,6
292.709,1
1999.629656,5
384.402,3
63.505,2
437.0846,6
3.814,4
930.406314,4
423.805,2
738.190963,1
486.117083,12
2.741,2
637.918142,2
391.4074,1
4382.658184,9
295.270218,2
53.454891,2
83.343,2
738.752744,4
39.73463,1
240.921547,1
284.636,3
372.499974,4
425.221,10
8.573,2
1.558,2
147.541,4
565.192317,5
0.16,1
531.159,6
132.543927,2
2511.076,7
82.073,6
4924.706644,9
1349.174739,7
715.042,2
647.207,1
114.063,2
1112.652,3
24.32258,1
106.321,2
118.709379,6
1623.324,4
438.633,3
135.162534,2
125.316595,6
260.214629,6
425.008,16
1554.624,14
2711.065,2
24.600201,1
21.009,2
79.809564,2
2448.2262,7
797.043,12
3.199,1
302.071,2
132.785,5
801.122,9
261.982,2
2100.055,3
1033.125,3
113.681,2
527.308,4
79.812,2
1188.642941,11
43.664129,1
350.22333,5
33.262,2
158.282,1
335.42,3
46.953,3
4924.706644,33
811.55,3
10.142671,4
688.395,11
175.708408,1
998.239083,1
150.927,2
131.069,1
1605.596,13
2495.078367,5
142.803325,3
325.449956,3
24.352925,1
3.866148,1
3190.418,16
223.080428,4
257.218,1
1541.758,19
0.102,1
412.418861,10
2596.447914,11
271.838,2
81.668666,2
441.265015,6
720.049,2
2.26,34
1938.410182,7
906.023131,5
1493.18,4
181.934,1
82.84566,2
5.418,1
495.576654,4
301.365059,5
886.096,22
33.530726,1
372.636,4
166.29392,1
1296.711893,6
399.455132,3
173.809,1
2699.08377,5
39.664,2
382.17,4
732.553027,2
471.293,7
1869.260678,14
378.166654,3
247.245,1
121.932,1
2013.69,19
0.216,1
551.855382,3
8.884,1
160.922733,1
289.343,3
175.084,1
2551.861,17
56.91934,2
361.117,3
89.978295,1
61.83228,5
683.706,4
46.519,1
2451.736,11
63.535,1
706.23,4
161.152,1
4.612671,1
1630.455,8
89.932,1
40.672974,1
441.724315,5
995.568,2
471.48993,12
516.18674,1
56.612565,1
158.253947,3
427.962187,1
107.189281,2
359.79,2
262.262,3
3423.745,9
1209.956,34
100.658,1
151.564065,1
1110.875476,4
35.906155,4
224.418,1
224.451,3
102.255,2
170.384,2
5.395,2
176.451537,3
20.628,1
167.868,1
504.798096,3
0.488,2
113.365,2
406.116,3
3476.166137,13
202.243,2
314.462,2
16.954,1
66.059,1
251.563,1
631.313541,3
38.153,1
1371.057525,6
609.039,4
147.074,3
3.898,1
197.793,2
507.436908,1
2325.002975,15
3.880943,1
4697.72,1
3034.078,5
13.875663,1
369.392078,2
1531.95,1
43.770993,1
1884.402033,8
548.758,10
87.076192,6
849.231,6
898.170073,3
393.178808,3
56.121,1
1291.055937,4
69.910839,1
238.664,6
394.690056,4
170.399681,2
698.7365,13
3086.480984,15
0.053,1
231.142027,1
51.177009,2
22.339823,1
134.275,2
1.817,1
3657.938865,22
34.248,1
16.249,1
73.267367,1
861.361,2
1877.673,18
349.825332,4
1943.019,1
148.879,1
304.532546,4
1134.495112,2
244.05,1
44.407,1
567.057269,2
13.547,3
1512.494,8
810.459,5
9.263,1
267.983,1
46.624378,1
231.646,3
134.18006,3
90.181224,1
41.798986,1
370.212,2
1396.134,21
232.653456,1
27.974,2
1382.809,21
763.186675,4
320.592,2
68.447,2
17.419,1
309.522212,3
210.546,1
67.896,1
10.227,2
23.431,1
1067.420674,29
307.022224,3
554.364196,5
37.44,1
55.605,1
809.195,7
390.121597,1
541.739,7
1154.103,16
